company_name	location	labor_bureau	first_appeared	last_appeared	duration_days	violation_law	violation_summary	prosecution_date	status	crossed_data_gap
（株）家島ドック	兵庫県姫路市	兵庫労働局	2017-01-20	2018-03-02	406	労働安全衛生法第20条 クレーン等安全規則第26条	無資格者に吊上げ荷重５トン以上ク レーンを運転させ、かつ同クレーンで 違法に人を吊り上げて作業したもの	2017-01-20	removed	
高圧プラント検査（株）	広島県呉市	山口労働局	2017-01-26	2018-03-02	400	労働安全衛生法第30条 労働安全衛生規則第636条	元請と下請の労働者の作業が同一の場 所で行われる際に、労働災害防止のた めの連絡調整を行わなかったもの	2017-01-26	removed	
タカラ繊維（株）	香川県小豆郡土庄町	香川労働局	2016-11-25	2017-12-28	398	労働基準法第37条	技能実習生３名に対し７か月間の時間 外労働の割増賃金の一部（総額約88万 円）を支払わなかったもの	2016-11-25	removed	
（有）玄蕃商店	福島県いわき市	福島労働局	2017-01-17	2018-03-02	409	労働安全衛生法第20条 労働安全衛生規則第151条の７	フォークリフトへの接触を防ぐ措置を 講じなかった結果、労働者１人が轢か れて死亡する災害を発生させたもの	2017-01-17	removed	
日本郵便（株） 新大阪郵 便局	大阪府大阪市	大阪労働局	2017-02-28	2017-06-01	93	労働安全衛生法第100条 労働安全衛生規則第97条	休業４日以上の労働災害が発生したに もかかわらず、労働者死傷病報告を提 出しなかったもの	2017-02-28	removed	
不動鋼板工業（株）	福岡県北九州市戸畑区	福岡労働局	2017-03-21	2017-11-18	242	労働安全衛生法第21条 労働安全衛生規則第519条	深さ2.14ｍの開口部のそばで作業を行 わせるに際し、囲い、手すり等の墜落 防止措置を講じていなかったもの	2017-03-21	removed	
（株）立雲	兵庫県朝来市	兵庫労働局	2017-03-24	2018-03-02	343	労働安全衛生法第21条 労働安全衛生規則第518条	急傾斜地の測量を高さ約６ｍの法枠工 内で行わせるに際し、墜落防止措置を 行わなかったもの	2017-03-24	removed	
シャトル代行	長野県長野市	長野労働局	2017-03-24	2017-08-03	132	最低賃金法第４条	労働者１名に対し、約１か月の間、長 野県最低賃金額以上の賃金を支払わな かったもの	2017-03-24	removed	
（有）ＹＡＭＡＴＯ	大阪府堺市	兵庫労働局	2017-03-22	2017-06-01	71	労働安全衛生法第14条 労働安全衛生法施行令第６条 労働安全衛生規則第565条	吊り足場の解体工事を行わせるに際 し、法定の足場の組立て等作業主任者 を選任しなかったもの	2017-03-22	removed	
（有）トップメタル	群馬県前橋市	群馬労働局	2016-11-18	2017-12-28	405	労働安全衛生法第20条 労働安全衛生規則第151条の10	貨物自動車に荷の積み込み作業を行わ せるに当たり、偏荷重が生じないよう に積載しなかったもの	2016-11-18	removed	
（有）参州寿組 豊田営業 所	愛知県豊田市	愛知労働局	2017-02-17	2018-04-02	409	労働安全衛生法第20条 クレーン等安全規則第66条の２	作業場所の広さ、地質の状態等を考慮 して移動式クレーンの転倒防止の方法 をあらかじめ定めなていなかったもの	2017-02-17	removed	
仲程興業	沖縄県豊見城市	沖縄労働局	2017-02-15	2017-08-25	191	労働安全衛生法第21条 労働安全衛生規則第537条	地上約５ｍにある解体作業中の建物庇 下に危険箇所への立入禁止措置をする ことなく作業を行わせたもの	2017-02-15	removed	
Ｗｉｎｓｏｎ（株） あベ のダイナー	大阪府大阪市	大阪労働局	2017-03-16	2017-06-01	77	労働基準法第24条	労働者４名に対する１か月分の定期賃 金総額約109万円を支払わなかったも の	2017-03-16	removed	
松本木材（株）	熊本県荒尾市	熊本労働局	2016-10-14	2017-11-18	400	労働安全衛生法第14条 労働安全衛生法施行令第６条 労働安全衛生規則第130条	木材加工用機械作業主任者に、木材加 工用機械を取り扱う作業を直接指揮さ せていなかったもの	2016-10-14	removed	
清水工業	埼玉県新座市	茨城労働局	2016-11-16	2017-12-28	407	労働安全衛生法第21条 労働安全衛生規則第519条 労働者派遣法第45条	防水工事現場で労働者に高さ２ｍ以上 の場所で、囲い・手すり等を設けず作 業を行わせたもの	2016-11-16	removed	
（有）カネマン	福島県会津若松市	福島労働局	2017-03-30	2018-05-07	403	労働安全衛生法第100条 労働安全衛生規則第97条	労働者が両足を骨折した災害につい て、災害の発生場所や態様について虚 偽の報告を行ったもの	2017-03-30	removed	
(株)ハルディン	千葉県印西市	千葉労働局	2017-03-15	2017-06-01	78	労働安全衛生法第20条 労働安全衛生規則第107条	培養土製造機械の掃除を行わせるに当 たり、当該機械の運転を停止させな かったもの	2017-03-15	removed	
（株）順行インターナショ ナル	山梨県南アルプス市	山梨労働局	2017-03-30	2017-11-18	233	労働安全衛生法第21条 労働安全衛生規則第519条	高さ約３ｍの解体中の建屋の２階部分 で、安全帯等を使用させずに労働者に 作業を行わせたもの	2017-03-30	removed	
（有）トウエイ給食セン ター	福島県郡山市	福島労働局	2016-01-06	2017-08-03	575	最低賃金法第４条	労働者22名に、１か月間の定期賃金合 計約290万円を支払わなかったもの	2017-01-06	removed	
（株）フジ機械	岐阜県土岐市	岐阜労働局	2016-11-25	2017-12-28	398	労働安全衛生法第20条 労働安全衛生規則第151条の14	フォークリフトを主たる用途以外の用 途に使用させたもの	2016-11-25	removed	
（株）篠﨑造船鉄工所	熊本県宇城市	熊本労働局	2016-12-02	2018-01-31	425	労働安全衛生法第61条 労働安全衛生法施行令第20条 クレーン等安全規則第22条	つり上げ荷重10.4トンのクレーンの運 転業務に、クレーン運転士免許を持た ない労働者を従事させたもの	2016-12-01	removed	
（株）シバデン	埼玉県川口市	神奈川労働局	2017-01-20	2018-03-02	406	労働安全衛生法第20条 クレーン等安全規則第30条	スタッカークレーンの修繕工事におい て、接触防止措置を講じなかったもの	2017-01-20	removed	
（有）フレッシュフーズ稲 沢	愛知県稲沢市	愛知労働局	2017-01-20	2018-03-02	406	最低賃金法第４条	労働者１名に、２か月間の定期賃金の 一部（愛知県最低賃金との差額）合計 約１万円を支払わなかったもの	2017-01-20	removed	
（株）Ｇｕｉｌｄ	高知県安芸市	高知労働局	2016-11-30	2017-06-01	183	労働基準法第32条	労働者１名に、36協定の延長時間を超 える違法な時間外・休日労働を行わせ たもの	2016-11-30	removed	
（株）大津興業	愛知県岡崎市	愛知労働局	2016-12-05	2018-01-31	422	最低賃金法第４条	労働者１名に、２か月間の定期賃金合 計約40万円を支払わなかったもの	2016-12-05	removed	
まるＤｅＢａｒ	京都市中京区	京都労働局	2017-03-14	2017-06-01	79	労働基準法第20条	労働者に解雇予告手当を支払わなかっ たもの	2017-03-14	removed	
静岡ジェイエイフーズ （株）	静岡県静岡市	静岡労働局	2017-02-08	2017-06-01	113	労働安全衛生法第20条 労働安全衛生規則第107条 労働者派遣法第45条	コンベヤーの清掃作業を行わせるにあ たり、労働者に同コンベヤーの運転停 止措置を講じなかったもの	2017-02-08	removed	
ペイントマン竹村塗装店	長野県大町市	長野労働局	2017-02-01	2018-04-02	425	労働安全衛生法第21条 労働安全衛生規則第519条	高さ2.5ｍの作業床の端に手すり等を 設けることなく、労働者に作業を行わ せたもの	2017-02-01	removed	
（有）フレッシュミート がなは 本店	沖縄県名護市	沖縄労働局	2017-02-21	2017-08-03	163	労働基準法第32条	労働者10名に、36協定を締結・届出す ることなく、違法な時間外労働を行わ せていたもの	2017-02-21	removed	
（株）東洋精機製作所	神奈川県綾瀬市	神奈川労働局	2016-12-01	2018-01-31	426	労働安全衛生法第14条 労働安全衛生法施行令第６条 労働安全衛生規則第133条	プレス機械作業主任者を選任していな かったもの	2016-12-01	removed	
（株）福村	大阪府岸和田市	大阪労働局	2016-12-27	2018-01-31	400	労働安全衛生法第21条 労働安全衛生規則第524条	屋根の改修工事において、スレート屋 根の踏み抜き防止措置を怠ったもの	2016-12-27	removed	
ミヤギ産業（株） 空港前 給油所	沖縄県石垣市	沖縄労働局	2017-03-28	2018-05-07	405	労働基準法第32条	労働者７名に、36協定の延長時間を超 える違法な時間外労働を行わせたもの	2017-03-28	removed	
ＳＴＡＲ ＲＯＣＫ ＣＯ ＭＰＡＮＹ（株）	東京都町田市	東京労働局	2017-03-13	2017-12-28	290	労働基準法第40条	労働者２名に、36協定を締結しないま ま違法な時間外労働を行わせたもの	2017-03-13	removed	
（株）三木組	大阪府大阪市	大阪労働局	2017-03-13	2017-06-01	80	労働安全衛生法第91条	労働基準監督官の臨検時に労働災害が 発生していない旨の虚偽の陳述を行っ たもの	2017-03-13	removed	
（株）ごとう造芸園	愛知県岡崎市	愛知労働局	2017-03-21	2017-08-03	135	労働安全衛生法第100条 労働安全衛生規則第97条	約６か月以上の休業を要する労働災害 について、虚偽の記載をした労働者死 傷病報告を提出したもの	2017-03-21	removed	
（株）三重オーケーテクノ	三重県津市	三重労働局	2017-02-16	2017-06-01	105	最低賃金法第４条	労働者３名の定期賃金約１か月間につ いて、三重県最低賃金以上の約48万円 を支払わなかったもの	2017-02-16	removed	
（株）ヒラマツ	岡山県新見市	岡山労働局	2017-03-21	2018-05-07	412	最低賃金法第４条	労働者２名に、23か月間の定期賃金合 計約419万円を支払わなかったもの	2017-03-21	removed	
觸澤林業	岩手県岩手郡葛巻町	岩手労働局	2016-11-01	2017-12-28	422	労働安全衛生法第20条 労働安全衛生規則第151条の95	車両系木材伐出機械で取り扱う伐倒木 への接触防止のための立入禁止措置を 講じていなかったもの	2016-11-01	removed	
小松建設（株）	高知県高知市	高知労働局	2017-02-20	2017-06-01	101	労働安全衛生法第21条 労働安全衛生規則第519条	高さ2.7ｍの躯体の端に手すり等を設 けることなく労働者に作業を行わせた もの	2017-02-20	removed	
竹藤建設（株）	岡山県真庭市	岡山労働局	2016-12-09	2018-01-31	418	労働安全衛生法第20条 労働安全衛生規則第157条	運行経路の転落防止措置を講じること なく労働者にドラッグ・ショベルを用 いて作業を行わせたもの	2016-12-09	removed	
大豊製罐（株）	大阪府豊中市	大阪労働局	2016-11-10	2017-12-28	413	労働安全衛生法第100条 労働安全衛生規則第97条	休業４日以上の労働災害が発生したに もかかわらず、労働者死傷病報告を提 出しなかったもの	2016-11-10	removed	
（株）テクノマックス	愛知県田原市	愛知労働局	2016-11-11	2017-12-28	412	労働安全衛生法第100条 労働安全衛生規則第97条	４日以上の休業を要する労働災害が発 生したのに、遅滞なく労働者死傷病報 告を提出しなかったもの	2016-11-11	removed	
（有）礎組	愛知県岡崎市	愛知労働局	2016-12-01	2017-08-03	245	労働安全衛生法第100条 労働安全衛生規則第97条 労働者派遣法第45条	６日間の休業を要する労働災害が発生 したのに、遅滞なく労働者死傷病報告 を提出しなかったもの	2016-12-01	removed	
日本合繊工業（株）	京都市南区	京都労働局	2017-03-24	2017-06-01	69	労働安全衛生法第20条 労働安全衛生規則第107条	樹脂加工装置の運転を停止しないま ま、同装置の回転ローラーの掃除を労 働者に行わせたもの	2017-03-24	removed	
（株）オードレマン	兵庫県尼崎市	兵庫労働局	2017-03-08	2017-06-01	85	最低賃金法第４条	労働者４名に、２～８か月分の所定賃 金（累計総額約134万円）を所定支払 日に支払わなかったもの	2017-03-08	removed	
（有）石川プレス工業所	愛知県津島市	愛知労働局	2017-03-23	2018-05-07	410	労働安全衛生法第45条 労働安全衛生法施行令第15条 労働安全衛生規則第134条の３	プレス機械について、１年に１回、定 期に行うべき法定の自主検査を行わず 使用していたもの	2017-03-23	removed	
（有）楓工業	福岡県福岡市西区	福岡労働局	2016-10-21	2017-11-18	393	労働安全衛生法第21条 労働安全衛生規則第524条 労働者派遣法第45条	高さ約８ｍのスレート屋根で作業を行 わせるに際し、踏み抜きによる墜落防 止措置を講じていなかったもの	2016-10-21	removed	
（株）和歌山吉野組	和歌山県和歌山市	和歌山労働局	2016-11-08	2017-12-28	415	労働安全衛生法第20条 労働安全衛生規則第279条	解体工事現場の天井に易燃性の物体が 吹き付けられた状態でガス溶接機を使 用させたもの	2016-11-08	removed	
ヤマト運輸（株） 神戸深 江支店	兵庫県神戸市	兵庫労働局	2017-03-24	2017-06-01	69	労働安全衛生法第20条 労働安全衛生規則第151条の７ 労働者派遣法第45条	運転中のフォークリフトと接触するお それのある場所に、危険防止措置を行 わず労働者を立ち入らせたもの	2017-03-24	removed	
丹波企画	秋田県山本郡八峰町	秋田労働局	2016-12-16	2017-06-01	167	労働安全衛生法第21条 労働安全衛生規則第519条	労働者に安全帯を使用させることなく １階屋根上で外壁の補修作業を行わせ たもの	2016-12-16	removed	
（株）下出工業	広島県広島市	熊本労働局	2017-03-21	2017-06-01	72	労働安全衛生法第14条 労働安全衛生法施行令第６条 石綿障害予防規則第19条	熊本地震の被災家屋の公費解体現場に おいて、石綿作業主任者を選任するこ となく解体作業を行わせたもの	2017-03-21	removed	
（株）たんぽぽスマイル ワーク	愛知県名古屋市中村区	愛知労働局	2016-11-22	2017-12-28	401	最低賃金法第４条	労働者18名に、２か月間の定期賃金合 計約140万円を支払わなかったもの	2016-11-22	removed	
昭和ハウジング	山口県下関市	山口労働局	2016-12-09	2018-01-31	418	労働安全衛生法第21条 労働安全衛生規則第519条	高さ約４ｍの一側足場上で、安全帯等 を使用させることなく労働者に作業を 行わせたもの	2016-12-09	removed	
パークガーデンホールディ ングス（株）	茨城県水戸市	茨城労働局	2017-02-16	2017-08-03	168	最低賃金法第４条	労働者19名に１か月間の定期賃金約 362万円を支払わなかったもの	2017-02-16	removed	
サンビイズ	愛知県稲沢市	愛知労働局	2016-10-25	2017-11-18	389	労働安全衛生法第20条 労働安全衛生規則第101条	裁断機の送りロールに巻き込まれ防止 のための防護措置を講じることなく労 働者に作業を行わせたもの	2016-10-25	removed	
谷口生コンクリート（株）	香川県高松市	香川労働局	2016-11-04	2017-12-28	419	労働安全衛生法第20条 労働安全衛生規則第107条	機械の掃除を行わせるに当たり、当該 機械の再起動を防止するための措置を 講じていなかったもの	2016-11-04	removed	
中村塗装	兵庫県相生市	兵庫労働局	2017-03-24	2017-06-01	69	最低賃金法第４条	労働者１名に、所定賃金１か月分（総 額24万円）を所定支払日に支払わな かったもの	2017-03-24	removed	
（株）続木鉄工所	愛媛県新居浜市	愛媛労働局	2016-12-15	2018-01-31	412	労働安全衛生法第20条 クレーン等安全規則第219条の２	吊りクランプの用途に応じた玉掛け作 業を行わせていなかったもの	2016-12-15	removed	
（有）徳丸産業	宮崎県都城市	宮崎労働局	2017-03-23	2017-09-01	162	労働安全衛生法第30条 労働安全衛生規則第636条	家屋等解体工事にあたり、随時、同一 の場所で作業を行う関係請負人と連絡 調整を行わなかったもの	2017-03-23	removed	
（有）サンスラックス	福井県大野市	福井労働局	2016-11-29	2017-12-28	394	労働基準法第32条	技能実習生である労働者８名に、36協 定の延長時間を超えて違法な時間外労 働を行わせたもの	2016-11-29	removed	
（株）八雲工業	広島県尾道市	愛知労働局	2017-01-20	2018-03-02	406	労働安全衛生法第20条 労働安全衛生規則第568条	その日の作業開始前に、つり足場の墜 落防止設備の取り外し及び脱落の有無 について点検を行わなかったもの	2017-01-20	removed	
（有）ファッションリ フォームエース	広島県呉市	広島労働局	2017-03-29	2017-08-03	127	労働基準法第24条	労働者４名に、５か月分の定期賃金約 194万円を支払わなかったもの	2017-03-29	removed	
（株）都市開発コンサルタ ント	福岡県北九州市戸畑区	福岡労働局	2017-02-13	2017-06-01	108	最低賃金法第４条	労働者６名に９か月分賃金を支払わな かったもの	2017-02-13	removed	
ＳＫエンジニアリング （有）	三重県松阪市	三重労働局	2016-11-14	2017-12-28	409	労働安全衛生法第21条 労働安全衛生規則第519条	安全帯を使用させることなく労働者に 高さ3.9ｍの高所作業を行わせたもの	2016-11-14	removed	
（株）日洋フレッシュ 釧 路工場	北海道釧路市	北海道労働局	2017-01-16	2018-03-02	410	労働安全衛生法第20条 労働安全衛生規則第130条の９	食品加工用圧縮機に覆い、囲い等を設 けることなく労働者に作業を行わせた もの	2017-01-16	removed	
（株）山並工務店	大阪府箕面市	大阪労働局	2017-03-13	2018-05-07	420	労働安全衛生法第100条 労働安全衛生規則第97条	休業４日以上の労働災害が発生したに もかかわらず、労働者死傷病報告を提 出しなかったもの	2017-03-13	removed	
（医）豊栄会	宮崎県都城市	宮崎労働局	2017-03-16	2018-05-07	417	労働基準法第５条	関連法人３事業場と共謀のうえ、外国 人留学生の労働者６名の意思に反し て、労働を強制させたもの	2017-03-16	removed	
（株）Ｇｒｏｗｉｎｇ ｕ ｐ	岐阜県大垣市	岐阜労働局	2017-03-09	2017-08-03		最低賃金法第４条	労働者14名に、４か月間の定期賃金合 計約1,100万円を支払わなかったもの	2017-03-09	removed	
（有）畠久保牧場	鹿児島県指宿市	鹿児島労働局	2016-11-22	2017-12-28	401	労働安全衛生法第61条 労働安全衛生法施行令第20条	資格を有しない労働者に、トラク ター・ショベルの運転を行わせたもの	2016-11-22	removed	
（株）伸光舎	東京都八王子市	東京労働局	2017-01-25	2018-03-02	401	最低賃金法第４条	知的障害のある労働者３名に、東京都 最低賃金を下回る賃金しか支払わな かったもの	2017-01-25	removed	
（有）ふらんすや	新潟県長岡市	新潟労働局	2017-02-08	2017-06-01	113	最低賃金法第４条	労働者８名に、３か月間、新潟県最低 賃金以上の賃金を支払わなかったもの	2017-02-08	removed	
（株）伸和 弥富物流セン ター	愛知県弥富市	愛知労働局	2016-10-24	2017-11-18	390	労働安全衛生法第100条 労働安全衛生規則第97条	約15日間の休業を要する労働災害が発 生したのに、遅滞なく労働者死傷病報 告を提出しなかったもの	2016-10-24	removed	
（株）朝日段ボール	香川県高松市	香川労働局	2017-03-24	2018-05-07	409	労働安全衛生法第21条 労働安全衛生規則第524条	スレート上で作業を行わせるに際し、 踏抜きによる墜落防止措置を講じてい なかったもの	2017-03-24	removed	
大協樹脂(株) 茨城工場	茨城県鉾田市	茨城労働局	2016-10-04	2017-06-01	240	労働安全衛生法第100条 労働安全衛生規則第97条	印刷工場内で発生した複数の休業４日 以上の労働災害について、労働者死傷 病報告書を提出しなかったもの	2016-10-04	removed	
卜キハマエキスプレス （株）	大阪府泉南郡熊取町	大阪労働局	2017-03-28	2017-11-18	235	労働基準法第32条	労働者１名に、36協定の延長時間を超 える違法な時間外労働を行わせたもの	2017-03-28	removed	
（株）丸建興業	東京都杉並区	東京労働局	2017-02-15	2018-04-02	411	労働安全衛生法第20条 クレーン等安全規則第74条の２	移動式クレーンで作業を行うに当た り、ワイヤロープで１箇所に玉掛けし た荷の下に労働者を立ち入らせたもの	2017-02-15	removed	
ゼルテック東北	福島県二本松市	福島労働局	2016-11-24	2017-12-28	399	労働安全衛生法第59条 労働安全衛生規則第36条	労働者に、法令で定める除染等業務特 別教育を行わずに除染業務に就かせた もの	2016-11-24	removed	
（株）あすなろ 四国支社	高知県高知市	高知労働局	2017-03-15	2017-06-01	78	労働安全衛生法第20条 労働安全衛生規則第151条の７	フォークリフトを用いた作業の際に誘 導者の配置等の接触防止措置を行うこ となく労働者に作業を行わせたもの	2017-03-15	removed	
（株）富士タクシー	神奈川県横浜市磯子区	神奈川労働局	2017-03-14	2017-08-25	164	労働基準法第120条	労働基準監督官から臨検監督を受けた 際に、虚偽の記載をした日報及び点呼 簿を提出したもの	2017-03-14	removed	
（株）大村林業	大分県日田市	大分労働局	2016-10-20	2017-11-18	394	労働安全衛生法第20条 労働安全衛生規則第151条の87	車両系木材伐出機械に原木等の飛来に よる危険を防止するための防護柵等の 設備を運転席に備えていなかったもの	2016-10-20	removed	
（株）山田地質調査コンサ ルタント	福井県越前市	福井労働局	2017-02-13	2017-06-01	108	最低賃金法第４条	労働者２名に、５か月間の定期賃金合 計約398万円を支払わなかったもの	2017-02-13	removed	
野中建設（株）	佐賀県佐賀市	佐賀労働局	2017-03-14	2017-08-25	164	労働安全衛生法第59条 労働安全衛生規則第36条	護岸工事において、ローラーの運転の 業務に係る特別教育を実施せず労働者 に作業を行わせたもの	2017-03-14	removed	
山本建設	兵庫県姫路市	兵庫労働局	2016-11-29	2017-06-01	184	労働基準法62条 年少者労働基準規則第８条	年少者（当時17歳）を、禁止されてい る足場の組立作業に従事させたもの	2016-11-29	removed	
（有）シンセリティ・コン サルタント	鳥取県東伯郡北栄町	鳥取労働局	2017-01-30	2017-06-01	122	最低賃金法第４条 労働基準法第24条	労働者２名に１か月分の定期賃金を支 払わなかったもの	2017-01-30	removed	
（株）カクイ建設	愛知県名古屋市港区	愛知労働局	2017-02-14	2018-04-02	412	労働安全衛生法第20条 労働安全衛生規則第160条	車両系建設機械の作業装置を地上に下 ろさずに、運転位置から離れたもの	2017-02-14	removed	
内藤鉄工	愛媛県伊予市	愛媛労働局	2016-12-05	2018-01-31	422	労働安全衛生法第61条 労働安全衛生法施行令第20条	可燃性ガス及び酸素を用いて行う金属 の溶断の業務に資格を有しない者を就 かせたもの	2016-12-05	removed	
ソーイング i	兵庫県美方郡香美町	兵庫労働局	2017-03-24	2017-06-01	69	最低賃金法第４条	外国人技能実習生６名に３か月間、所 定賃金の一部（総額約251万円）を所 定支払日に支払わなかったもの	2017-03-24	removed	
（株）松本	高知県高知市	高知労働局	2016-10-13	2017-06-01	231	最低賃金法第４条	労働者４名に10か月間の定期賃金合計 約500万円を支払わなかったもの	2016-10-13	removed	
（株）ナカショク ペレッ ト工場	新潟県胎内市	新潟労働局	2017-02-02	2018-04-02	424	労働安全衛生法第20条 労働安全衛生規則第151条の78	ベルトコンベヤーに、非常停止措置を 備え付けることなく労働者に作業を行 わせたもの	2017-02-02	removed	
嘉賀建設（株）	福岡県小郡市	福岡労働局	2017-03-14	2018-05-07	419	労働安全衛生法第21条 労働安全衛生規則第519条	倉庫の屋根の洗浄作業を行っていた被 災者が、１階屋根（高さ3.2ｍ）から 地上へ墜落したもの	2017-03-14	removed	
（株）大崎工務店	愛知県稲沢市	愛知労働局	2016-10-18	2017-11-18	396	労働安全衛生法第61条 労働安全衛生法施行令第20条 労働者派遣法第45条	フォークリフトの運転資格を有しない 労働者をフォークリフト運転業務に就 かせたもの	2016-10-18	removed	
（株）Ｓ＆Ａ	愛知県名古屋市熱田区	愛知労働局	2017-03-01	2018-05-07	432	最低賃金法第４条	労働者７名に、１か月間の定期賃金合 計約100万円を支払わなかったもの	2017-03-01	removed	
（株）真組	福岡県北九州市八幡西区	福岡労働局	2016-11-25	2017-12-28	398	労働安全衛生法第20条 労働安全衛生規則第564条	足場４層目の手すりがない箇所で作業 を行わせるに際し、安全帯を取り付け る設備を設けていなかったもの	2016-11-25	removed	
西村建設	北海道留萌市	北海道労働局	2016-10-18	2017-11-18	396	労働安全衛生法第21条 労働安全衛生規則第519条 労働者派遣法第45条	高さ6.8ｍの屋根の端に手すり等を設 けることなく労働者に作業を行わせた もの	2016-10-18	removed	
長栄堂	北海道美唄市	北海道労働局	2017-03-03	2018-05-07	430	最低賃金法第４条	労働者５名に、５か月間の定期賃金合 計約250万円を支払わなかったもの	2017-03-03	removed	
藤元建設工業（株）	広島県庄原市	広島労働局	2017-03-14	2017-08-25	164	最低賃金法第４条	労働者26名に、12か月分の定期賃金約 536万円を支払わなかったもの	2017-03-14	removed	
ナル・コーポレーション （株）	福島県福島市	福島労働局	2017-02-20	2017-12-28	311	最低賃金法第４条	労働者３名に、９か月間の定期賃金合 計約230万円を支払わなかったもの	2017-02-20	removed	
（株）グリーンファーム京 都	京都府相楽郡山城村	京都労働局	2016-12-20	2018-01-31	407	労働安全衛生法第20条 労働安全衛生規則第151条の65	労働者にサイドブレーキが有効な状態 でないバキュームカーを使用させたも の	2016-12-20	removed	
